"","ArrDelay","Month","DayOfWeek","CRSDepTime","CRSArrTime","AirTime","Distance","TaxiIn","TaxiOut","DepDelay","Diverted","Carrier","Weather","NAS","Security","LateAircraft"
"203",45,4,3,1155,1405,49,296,9,17,40,0,1,0,1,0,0
"204",-2,8,7,1955,2259,103,794,5,13,1,0,0,0,0,0,0
"205",2,6,7,1040,1155,62,389,3,6,6,0,0,0,0,0,0
"208",-29,1,3,1705,2318,215,1926,5,16,-12,0,0,0,0,0,0
"209",-1,9,5,705,813,41,207,10,15,1,0,0,0,0,0,0
"210",-4,4,5,645,1012,124,871,3,12,4,0,0,0,0,0,0
"211",-3,6,4,2250,2350,40,253,6,12,-1,0,0,0,0,0,0
"212",2,4,3,1235,1309,24,102,10,7,-5,0,0,0,0,0,0
"213",-12,5,3,1840,2059,94,587,11,31,-9,0,0,0,0,0,0
"214",-9,3,4,1852,2019,65,392,7,14,-8,0,0,0,0,0,0
"215",-9,7,5,1205,1423,111,802,8,13,-3,0,0,0,0,0,0
"216",17,8,2,2030,2124,86,590,8,23,14,0,1,0,1,0,0
"217",-6,4,1,1040,1100,60,328,4,10,0,0,0,0,0,0,0
"218",-3,1,2,1310,1631,112,868,9,17,0,0,0,0,0,0,0
"219",-16,11,4,1455,1710,103,673,17,5,-6,0,0,0,0,0,0
"220",1,11,1,1050,1155,45,282,10,9,2,0,0,0,0,0,0
"221",125,3,2,1200,1338,122,733,8,26,127,0,1,0,0,0,1
"222",3,10,6,1845,2009,63,416,10,17,-3,0,0,0,0,0,0
"223",-7,11,2,750,900,53,267,4,8,-2,0,0,0,0,0,0
"224",48,6,1,1620,1720,46,237,6,8,48,0,0,0,0,0,1
"225",-17,12,7,1505,1717,99,722,5,13,-2,0,0,0,0,0,0
"226",-3,10,5,700,900,103,643,13,11,-10,0,0,0,0,0,0
"227",-5,11,5,1905,1942,21,100,5,11,-5,0,0,0,0,0,0
"228",105,9,2,1100,1254,35,177,13,15,96,0,1,0,1,0,0
"229",2,6,2,900,947,93,619,7,10,-1,0,0,0,0,0,0
"230",36,12,5,1955,2047,29,139,4,17,38,0,1,0,0,0,0
"231",17,2,5,2052,2127,70,455,6,22,14,0,1,0,0,0,0
"232",-1,9,4,850,1140,150,989,8,13,-2,0,0,0,0,0,0
"233",20,2,7,1500,1723,121,759,4,15,23,0,1,0,0,0,1
"234",25,9,5,1639,1800,49,267,20,43,-6,0,0,0,1,0,0
"235",-14,4,4,1330,1510,66,397,5,11,4,0,0,0,0,0,0
"236",-6,7,7,2025,2152,67,386,5,11,-2,0,0,0,0,0,0
"237",156,12,5,1535,1725,99,552,32,13,122,0,0,0,1,0,1
"238",-26,6,6,2355,544,191,1660,5,11,-4,0,0,0,0,0,0
"239",-16,8,7,1305,1406,37,197,5,15,-12,0,0,0,0,0,0
"240",-13,6,5,750,859,38,236,9,16,-7,0,0,0,0,0,0
"241",-15,10,7,1959,2243,185,1437,3,24,-3,0,0,0,0,0,0
"242",2,5,7,920,1022,40,215,10,18,-4,0,0,0,0,0,0
"243",17,5,6,905,1055,228,1521,7,10,2,0,0,0,1,0,0
"244",84,2,5,1034,1501,197,1501,15,29,50,0,1,0,1,0,1
"245",39,9,1,1730,1909,59,200,6,25,48,0,0,0,0,0,1
"246",0,7,1,1930,2010,27,163,5,13,-5,0,0,0,0,0,0
"247",14,6,7,1509,1601,82,528,11,24,9,0,0,0,0,0,0
"248",33,6,7,749,915,62,337,5,17,35,0,0,0,1,0,0
"249",-6,2,6,620,715,32,175,5,14,-2,0,0,0,0,0,0
"250",2,1,7,2135,2348,99,604,6,35,-5,0,0,0,0,0,0
"251",0,7,7,1755,1855,44,228,9,8,-1,0,0,0,0,0,0
"252",-6,6,1,805,940,203,1501,6,4,-4,0,0,0,0,0,0
"253",-7,8,7,1100,1137,21,100,5,8,-4,0,0,0,0,0,0
"254",-22,11,7,730,1018,76,651,4,8,-2,0,0,0,0,0,0
"255",50,3,5,1755,1900,57,223,4,8,46,0,0,0,1,0,1
"256",54,7,1,1755,2102,315,2406,5,43,58,0,1,0,0,0,1
"257",6,5,4,2000,2125,66,373,5,16,4,0,0,0,0,0,0
"258",-8,6,3,930,1050,59,405,2,10,1,0,0,0,0,0,0
"259",6,6,4,1259,1519,107,821,9,10,20,0,0,0,0,0,0
"260",3,4,7,735,855,71,462,5,10,-3,0,0,0,0,0,0
"261",0,10,5,757,916,176,1199,6,21,-4,0,0,0,0,0,0
"262",-4,12,3,1056,1709,218,1846,11,18,2,0,0,0,0,0,0
"263",-13,11,3,720,825,42,282,2,8,0,0,0,0,0,0,0
"264",-10,9,2,1255,2135,319,2640,4,9,-2,0,0,0,0,0,0
"265",5,8,4,1050,1335,91,612,3,15,1,0,0,0,0,0,0
"266",-3,11,6,1600,1643,31,163,4,7,-2,0,0,0,0,0,0
"267",-7,9,7,1555,1913,116,862,6,13,-4,0,0,0,0,0,0
"268",-16,8,3,1100,1345,132,954,8,13,-4,0,0,0,0,0,0
"269",-4,4,4,2115,2222,39,224,6,15,3,0,0,0,0,0,0
"270",22,8,5,1355,1533,67,508,5,15,33,0,1,0,0,0,0
"271",73,9,6,1555,2005,164,1302,3,64,32,0,0,0,1,0,0
"272",5,1,2,1033,1134,40,199,3,10,13,0,0,0,0,0,0
"273",-2,6,1,1520,1620,101,677,6,13,-2,0,0,0,0,0,0
"274",-2,1,2,1627,1659,75,419,6,9,0,0,0,0,0,0,0
"275",-17,2,2,1110,1230,162,1185,10,14,-3,0,0,0,0,0,0
"276",-13,3,4,715,939,110,703,12,13,-4,0,0,0,0,0,0
"277",-10,5,6,1720,1838,56,258,10,12,-10,0,0,0,0,0,0
"278",-1,6,4,1308,2040,225,1891,11,19,16,0,0,0,0,0,0
"279",70,6,1,1720,1830,49,282,15,5,71,0,0,1,0,0,1
"280",-23,3,6,1355,1510,41,238,4,10,-3,0,0,0,0,0,0
"281",12,2,6,1315,1520,243,1593,6,15,-7,0,0,0,0,0,0
"282",3,9,4,1827,1901,128,868,4,27,-2,0,0,0,0,0,0
"283",-16,7,5,1711,1742,59,352,4,19,-7,0,0,0,0,0,0
"285",-1,12,3,1605,1836,67,455,14,9,0,0,0,0,0,0,0
